0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.2063	0.0627	-0.7294	0.0035	-0.0002	0.0025	0.0000	0.0000	0.0000
1	0.7222	-0.7023	-3.3423	0.0035	-0.0002	0.0025	0.0000	0.0000	0.0000
3	0.8343	-0.3346	-0.9127	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.2023	0.0639	-0.7168	0.0012	0.0018	0.0041	0.0000	0.0000	0.0000
1	0.6927	5.4332	-3.7770	0.0012	0.0018	0.0041	0.0000	0.0000	0.0000
3	0.8470	1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.1986	0.0661	-0.7061	0.0043	0.0033	0.0043	0.0000	0.0000	0.0000
1	0.6011	-0.6492	-3.1204	0.0043	0.0033	0.0043	0.0000	0.0000	0.0000
3	0.8303	1.0000	-1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.1947	0.0685	-0.6965	0.0061	0.0027	0.0036	0.0000	0.0000	0.0000
1	0.5237	-0.6605	-1.9788	0.0061	0.0027	0.0036	0.0000	0.0000	0.0000
3	0.7158	-0.4278	-0.6982	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.1907	0.0704	-0.6861	0.0037	0.0007	0.0029	0.0000	0.0000	0.0000
1	0.5192	-0.6401	-1.5676	0.0037	0.0007	0.0029	0.0000	0.0000	0.0000
3	0.7016	-0.4204	-0.3187	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.1863	0.0718	-0.6753	0.0038	0.0006	0.0009	0.0000	0.0000	0.0000
1	0.7194	-0.6678	-2.8584	0.0038	0.0006	0.0009	0.0000	0.0000	0.0000
3	0.8521	-0.4353	-0.7306	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0	0.1819	0.0726	-0.6633	-0.0018	0.0003	0.0013	0.0000	0.0000	0.0000
1	0.6867	5.4228	-3.3607	-0.0018	0.0003	0.0013	0.0000	0.0000	0.0000
3	0.8665	1.0000	-0.9945	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
